Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile
116,Darren Sproles,RB44,121.6,Darren Sproles,darren sproles,RB,2017,112,0.6864406779661016
117,John Brown,WR45,121.8,John Brown,john brown,WR,2017,113,0.6836158192090396
118,Donte Moncrief,WR46,84.0,Donte Moncrief,donte moncrief,WR,2017,74,0.7937853107344632
119,Jack Doyle,TE14,127.4,Jack Doyle,jack doyle,TE,2017,116,0.6751412429378532
120,Stephen Gostkowski,K1,127.8,Stephen Gostkowski,stephen gostkowski,K,2017,117,0.672316384180791
121,Justin Tucker,K2,128.4,Justin Tucker,justin tucker,K,2017,119,0.6666666666666667
122,C.J. Prosise,RB45,129.4,C.J. Prosise,cj prosise,RB,2017,120,0.6638418079096045
123,Jacquizz Rodgers,RB46,131.0,Jacquizz Rodgers,jacquizz rodgers,RB,2017,122,0.6581920903954802
124,Ted Ginn Jr.,WR47,131.4,Ted Ginn Jr.,ted ginn jr,WR,2017,123,0.655367231638418
125,Eli Manning,QB16,137.2,Eli Manning,eli manning,QB,2017,126,0.6468926553672316
126,Jason Witten,TE15,138.0,Jason Witten,jason witten,TE,2017,127,0.6440677966101696
127,Andy Dalton,QB17,138.4,Andy Dalton,andy dalton,QB,2017,128,0.6412429378531073
128,Kevin White,WR48,138.8,Kevin White,kevin white,WR,2017,129,0.6384180790960452
129,Jamaal Charles,RB47,140.4,Jamaal Charles,jamaal charles,RB,2017,133,0.6271186440677966
130,Kenny Britt,WR49,106.3,Kenny Britt,kenny britt,WR,2017,96,0.731638418079096
131,Mike Wallace,WR50,108.3,Mike Wallace,mike wallace,WR,2017,98,0.7259887005649718
132,Cooper Kupp,WR51,144.4,Cooper Kupp,cooper kupp,WR,2017,135,0.6214689265536724
133,Austin Hooper,TE16,145.0,Austin Hooper,austin hooper,TE,2017,137,0.615819209039548
134,Rex Burkhead,RB48,145.4,Rex Burkhead,rex burkhead,RB,2017,139,0.6101694915254237
135,Denver Broncos,DST1,112.0,Denver Broncos,denver broncos,DST,2017,102,0.7146892655367232
136,Carson Palmer,QB18,149.2,Carson Palmer,carson palmer,QB,2017,145,0.5932203389830508
137,Jeremy Hill,RB49,150.2,Jeremy Hill,jeremy hill,RB,2017,147,0.5875706214689266
138,Corey Davis,WR52,117.3,Corey Davis,corey davis,WR,2017,106,0.7033898305084746
139,Zay Jones,WR53,128.3,Zay Jones,zay jones,WR,2017,118,0.6694915254237288
140,Samaje Perine,RB50,129.8,Samaje Perine,samaje perine,RB,2017,121,0.6610169491525424
141,Jamaal Williams,RB51,135.3,Jamaal Williams,jamaal williams,RB,2017,124,0.652542372881356
142,Alvin Kamara,RB52,167.4,Alvin Kamara,alvin kamara,RB,2017,156,0.5621468926553672
143,Matt Bryant,K3,139.8,Matt Bryant,matt bryant,K,2017,131,0.6327683615819208
144,O.J. Howard,TE17,144.0,O.J. Howard,oj howard,TE,2017,134,0.6242937853107344
145,Dan Bailey,K4,145.3,Dan Bailey,dan bailey,K,2017,138,0.612994350282486
146,Giovani Bernard,RB53,146.0,Giovani Bernard,giovani bernard,RB,2017,141,0.6045197740112994
147,Carson Wentz,QB19,146.3,Carson Wentz,carson wentz,QB,2017,142,0.6016949152542372
148,Sterling Shepard,WR54,146.8,Sterling Shepard,sterling shepard,WR,2017,143,0.5988700564971752
149,Coby Fleener,TE18,149.8,Coby Fleener,coby fleener,TE,2017,146,0.5903954802259888
150,Seattle Seahawks,DST2,109.3,Seattle Seahawks,seattle seahawks,DST,2017,100,0.7203389830508475
151,Cole Beasley,WR55,153.8,Cole Beasley,cole beasley,WR,2017,148,0.5847457627118644
152,Latavius Murray,RB54,156.8,Latavius Murray,latavius murray,RB,2017,149,0.5819209039548023
153,Tyler Lockett,WR56,160.0,Tyler Lockett,tyler lockett,WR,2017,150,0.57909604519774
154,New York Giants,DST3,160.3,New York Giants,new york giants,DST,2017,151,0.576271186440678
155,Evan Engram,TE19,160.3,Evan Engram,evan engram,TE,2017,151,0.576271186440678
156,Tyrod Taylor,QB20,162.3,Tyrod Taylor,tyrod taylor,QB,2017,153,0.5706214689265536
157,Kansas City Chiefs,DST4,123.0,Kansas City Chiefs,kansas city chiefs,DST,2017,114,0.6807909604519774
158,Houston Texans,DST5,123.3,Houston Texans,houston texans,DST,2017,115,0.6779661016949152
159,Julius Thomas,TE20,163.8,Julius Thomas,julius thomas,TE,2017,154,0.5677966101694916
160,Mason Crosby,K5,166.3,Mason Crosby,mason crosby,K,2017,155,0.5649717514124294
161,Josh Doctson,WR57,166.3,Josh Doctson,josh doctson,WR,2017,155,0.5649717514124294
162,Cameron Brate,TE21,170.3,Cameron Brate,cameron brate,TE,2017,157,0.5593220338983051
163,Wendell Smallwood,RB55,171.5,Wendell Smallwood,wendell smallwood,RB,2017,158,0.5564971751412429
164,Taylor Gabriel,WR58,172.3,Taylor Gabriel,taylor gabriel,WR,2017,159,0.5536723163841808
165,Minnesota Vikings,DST6,136.3,Minnesota Vikings,minnesota vikings,DST,2017,125,0.6497175141242938
166,Arizona Cardinals,DST7,139.3,Arizona Cardinals,arizona cardinals,DST,2017,130,0.6355932203389831
167,New England Patriots,DST8,140.3,New England Patriots,new england patriots,DST,2017,132,0.6299435028248588
168,Antonio Gates,TE22,177.0,Antonio Gates,antonio gates,TE,2017,163,0.5423728813559322
169,Shane Vereen,RB56,177.5,Shane Vereen,shane vereen,RB,2017,164,0.53954802259887
170,Robbie Chosen,WR59,144.7,Robbie Chosen,robbie chosen,WR,2017,136,0.6186440677966102
171,Carolina Panthers,DST9,145.7,Carolina Panthers,carolina panthers,DST,2017,140,0.6073446327683616
172,Mohamed Sanu Sr.,WR60,180.5,Mohamed Sanu Sr.,mohamed sanu sr,WR,2017,166,0.5338983050847458
173,Adam Vinatieri,K6,147.3,Adam Vinatieri,adam vinatieri,K,2017,144,0.596045197740113
174,Kenny Stills,WR61,181.8,Kenny Stills,kenny stills,WR,2017,168,0.5282485875706215
175,Joe Flacco,QB21,183.8,Joe Flacco,joe flacco,QB,2017,170,0.5225988700564972
176,Kendall Wright,WR62,186.0,Kendall Wright,kendall wright,WR,2017,172,0.5169491525423728
177,Danny Amendola,WR63,192.3,Danny Amendola,danny amendola,WR,2017,177,0.5028248587570621
179,Chris Thompson,RB57,191.8,Chris Thompson,chris thompson,RB,2017,175,0.5084745762711864
180,Kenny Golladay,WR65,161.7,Kenny Golladay,kenny golladay,WR,2017,152,0.5734463276836158
181,John Ross,WR66,162.3,John Ross,john ross,WR,2017,153,0.5706214689265536
182,Matt Prater,K7,172.3,Matt Prater,matt prater,K,2017,159,0.5536723163841808
183,Pittsburgh Steelers,DST10,173.3,Pittsburgh Steelers,pittsburgh steelers,DST,2017,160,0.5508474576271186
184,Wil Lutz,K8,176.3,Wil Lutz,wil lutz,K,2017,162,0.5451977401129944
185,Jared Cook,TE23,206.0,Jared Cook,jared cook,TE,2017,193,0.4576271186440678
186,Charles Sims,RB58,206.3,Charles Sims,charles sims,RB,2017,194,0.4548022598870056
187,Jacksonville Jaguars,DST11,181.3,Jacksonville Jaguars,jacksonville jaguars,DST,2017,167,0.5310734463276836
188,Marlon Mack,RB59,183.0,Marlon Mack,marlon mack,RB,2017,169,0.5254237288135593
189,Torrey Smith,WR67,209.5,Torrey Smith,torrey smith,WR,2017,196,0.4491525423728814
191,Cairo Santos,K9,189.7,Cairo Santos,cairo santos,K,2017,173,0.5141242937853108
192,Los Angeles Rams,DST12,190.0,Los Angeles Rams,los angeles rams,DST,2017,174,0.5112994350282486
193,Breshad Perriman,WR68,192.0,Breshad Perriman,breshad perriman,WR,2017,176,0.5056497175141244
194,Jay Cutler,QB22,192.7,Jay Cutler,jay cutler,QB,2017,178,0.5
195,Baltimore Ravens,DST13,193.0,Baltimore Ravens,baltimore ravens,DST,2017,179,0.4971751412429378
196,Dion Lewis,RB61,193.0,Dion Lewis,dion lewis,RB,2017,179,0.4971751412429378
197,Philadelphia Eagles,DST14,194.7,Philadelphia Eagles,philadelphia eagles,DST,2017,180,0.49435028248587576
198,DeAndre Washington,RB62,195.3,DeAndre Washington,deandre washington,RB,2017,181,0.4915254237288136
199,J.J. Nelson,WR69,196.3,J.J. Nelson,jj nelson,WR,2017,183,0.48587570621468923
200,James Conner,RB63,196.3,James Conner,james conner,RB,2017,183,0.48587570621468923
201,Atlanta Falcons,DST15,197.0,Atlanta Falcons,atlanta falcons,DST,2017,184,0.48305084745762716
202,Charcandrick West,RB64,218.8,Charcandrick West,charcandrick west,RB,2017,213,0.4011299435028248
203,Sebastian Janikowski,K10,198.0,Sebastian Janikowski,sebastian janikowski,K,2017,186,0.4774011299435028
204,Sam Bradford,QB23,198.0,Sam Bradford,sam bradford,QB,2017,186,0.4774011299435028
205,Dustin Hopkins,K11,198.7,Dustin Hopkins,dustin hopkins,K,2017,187,0.47457627118644063
206,Malcolm Mitchell,WR70,201.0,Malcolm Mitchell,malcolm mitchell,WR,2017,188,0.47175141242937857
207,C.J. Fiedorowicz,TE24,203.7,C.J. Fiedorowicz,cj fiedorowicz,TE,2017,189,0.4689265536723164
208,David Njoku,TE25,204.0,David Njoku,david njoku,TE,2017,190,0.4661016949152542
209,Brandon LaFell,WR71,204.7,Brandon LaFell,brandon lafell,WR,2017,191,0.46327683615819204
210,Allen Hurns,WR72,205.7,Allen Hurns,allen hurns,WR,2017,192,0.46045197740113
211,Devin Funchess,WR73,207.0,Devin Funchess,devin funchess,WR,2017,195,0.45197740112994356
212,Julian Edelman,WR74,212.0,Julian Edelman,julian edelman,WR,2017,201,0.4350282485875706
213,Jonathan Williams,RB65,171.5,Jonathan Williams,jonathan williams,RB,2017,158,0.5564971751412429
214,Spencer Ware,RB66,217.0,Spencer Ware,spencer ware,RB,2017,207,0.4180790960451978
215,Jalen Richard,RB67,210.3,Jalen Richard,jalen richard,RB,2017,197,0.4463276836158192
216,Deshaun Watson,QB24,210.7,Deshaun Watson,deshaun watson,QB,2017,198,0.443502824858757
217,Joe Williams,RB68,174.5,Joe Williams,joe williams,RB,2017,161,0.5480225988700564
218,Robert Woods,WR75,211.0,Robert Woods,robert woods,WR,2017,199,0.44067796610169496
219,Chris Carson,RB69,211.7,Chris Carson,chris carson,RB,2017,200,0.4378531073446328
220,Cincinnati Bengals,DST16,213.7,Cincinnati Bengals,cincinnati bengals,DST,2017,203,0.42937853107344637
221,T.J. Yeldon,RB70,214.7,T.J. Yeldon,tj yeldon,RB,2017,205,0.423728813559322
222,Cameron Meredith,WR76,224.5,Cameron Meredith,cameron meredith,WR,2017,219,0.384180790960452
223,Los Angeles Chargers,DST17,216.3,Los Angeles Chargers,los angeles chargers,DST,2017,206,0.42090395480225984
224,Blair Walsh,K12,216.3,Blair Walsh,blair walsh,K,2017,206,0.42090395480225984
226,ArDarius Stewart,WR77,218.3,ArDarius Stewart,ardarius stewart,WR,2017,210,0.40960451977401124
227,Chris Boswell,K13,218.3,Chris Boswell,chris boswell,K,2017,210,0.40960451977401124
228,Mike Williams,WR78,218.7,Mike Williams,mike williams,WR,2017,212,0.403954802259887
229,Devontae Booker,RB72,225.3,Devontae Booker,devontae booker,RB,2017,220,0.3813559322033898
230,Tavon Austin,WR79,225.7,Tavon Austin,tavon austin,WR,2017,221,0.37853107344632764
231,Graham Gano,K14,197.0,Graham Gano,graham gano,K,2017,184,0.48305084745762716
232,Jesse James,TE26,197.5,Jesse James,jesse james,TE,2017,185,0.480225988700565
233,Tarik Cohen,RB73,226.3,Tarik Cohen,tarik cohen,RB,2017,222,0.37570621468926557
234,William Fuller,WR80,226.7,William Fuller,william fuller,WR,2017,223,0.3728813559322034
235,Matt Breida,RB74,228.7,Matt Breida,matt breida,RB,2017,224,0.3700564971751412
236,Jaron Brown,WR81,229.7,Jaron Brown,jaron brown,WR,2017,226,0.364406779661017
237,Branden Oliver,RB75,230.3,Branden Oliver,branden oliver,RB,2017,228,0.3587570621468926
238,Curtis Samuel,WR82,230.3,Curtis Samuel,curtis samuel,WR,2017,228,0.3587570621468926
239,Charles Clay,TE27,234.7,Charles Clay,charles clay,TE,2017,234,0.3418079096045198
240,Austin Seferian-Jenkins,TE28,230.7,Austin Seferian-Jenkins,austin seferian-jenkins,TE,2017,229,0.35593220338983056
241,Paul Richardson Jr.,WR83,230.7,Paul Richardson Jr.,paul richardson jr,WR,2017,229,0.35593220338983056
242,Chris Conley,WR84,231.0,Chris Conley,chris conley,WR,2017,230,0.3531073446327684
243,Stephen Hauschka,K15,207.0,Stephen Hauschka,stephen hauschka,K,2017,195,0.45197740112994356
244,Kenyan Drake,RB76,207.0,Kenyan Drake,kenyan drake,RB,2017,195,0.45197740112994356
245,Alex Smith,QB25,234.0,Alex Smith,alex smith,QB,2017,233,0.34463276836158196
246,Kyle Juszczyk,RB77,234.0,Kyle Juszczyk,kyle juszczyk,RB,2017,233,0.34463276836158196
247,Caleb Sturgis,K16,236.0,Caleb Sturgis,caleb sturgis,K,2017,235,0.3389830508474576
248,Zach Zenner,RB78,214.5,Zach Zenner,zach zenner,RB,2017,204,0.4265536723163842
249,Dwayne Allen,TE29,239.0,Dwayne Allen,dwayne allen,TE,2017,238,0.3305084745762712
250,Brandon McManus,K17,217.5,Brandon McManus,brandon mcmanus,K,2017,208,0.4152542372881356
251,Chris Ivory,RB79,218.5,Chris Ivory,chris ivory,RB,2017,211,0.4067796610169492
252,Jimmy Garoppolo,QB26,219.0,Jimmy Garoppolo,jimmy garoppolo,QB,2017,214,0.39830508474576276
253,Kerwynn Williams,RB80,222.5,Kerwynn Williams,kerwynn williams,RB,2017,217,0.38983050847457623
254,Robert Turbin,RB81,245.3,Robert Turbin,robert turbin,RB,2017,244,0.31355932203389836
255,Vance McDonald,TE30,258.3,Vance McDonald,vance mcdonald,TE,2017,258,0.2740112994350282
