Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
230,Jeremy Hill ,RB68,,207.7,Jeremy Hill ,jeremy hill,RB,2018
231,Hayden Hurst,TE25,,208.7,Hayden Hurst,hayden hurst,TE,2018
232,Antonio Gates,TE26,,212.3,Antonio Gates,antonio gates,TE,2018
233,James Washington,WR76,,215.0,James Washington,james washington,WR,2018
234,Chris Ivory,RB69,,216.0,Chris Ivory,chris ivory,RB,2018
235,Vance McDonald,TE27,,219.3,Vance McDonald,vance mcdonald,TE,2018
236,Baker Mayfield,QB28,,221.7,Baker Mayfield,baker mayfield,QB,2018
237,Cleveland Browns,DST19,,222.7,Cleveland Browns,cleveland browns,DST,2018
238,Green Bay Packers,DST20,189.0,227.7,Green Bay Packers,green bay packers,DST,2018
239,Phillip Dorsett II,WR77,,229.0,Phillip Dorsett II,phillip dorsett ii,WR,2018
240,Dallas Cowboys,DST21,201.0,229.7,Dallas Cowboys,dallas cowboys,DST,2018
241,Detroit Lions,DST22,,231.3,Detroit Lions,detroit lions,DST,2018
242,Sam Bradford,QB29,,233.0,Sam Bradford,sam bradford,QB,2018
243,Cole Beasley,WR78,,237.0,Cole Beasley,cole beasley,WR,2018
244,Kalen Ballage,RB70,,240.7,Kalen Ballage,kalen ballage,RB,2018
245,Sam Darnold,QB30,,241.7,Sam Darnold,sam darnold,QB,2018
246,Kenneth Dixon,RB71,,242.3,Kenneth Dixon,kenneth dixon,RB,2018
248,Joe Flacco,QB31,,246.0,Joe Flacco,joe flacco,QB,2018
249,Ryan Tannehill,QB32,,247.7,Ryan Tannehill,ryan tannehill,QB,2018
250,Dallas Goedert,TE28,,248.0,Dallas Goedert,dallas goedert,TE,2018
251,Chase Edmonds,RB72,,250.0,Chase Edmonds,chase edmonds,RB,2018
252,Lamar Jackson,QB33,,250.3,Lamar Jackson,lamar jackson,QB,2018
253,Mike Wallace ,WR80,,255.0,Mike Wallace ,mike wallace,WR,2018
254,Jake Butt ,TE29,,256.0,Jake Butt ,jake butt,TE,2018
255,Brandon Marshall,WR81,,257.3,Brandon Marshall,brandon marshall,WR,2018
256,Rod Smith,RB73,,258.3,Rod Smith,rod smith,RB,2018
257,Quincy Enunwa,WR82,,259.3,Quincy Enunwa,quincy enunwa,WR,2018
258,Stephen Hauschka,K19,,261.3,Stephen Hauschka,stephen hauschka,K,2018
259,Taywan Taylor,WR83,,262.0,Taywan Taylor,taywan taylor,WR,2018
260,Vernon Davis,TE30,,262.7,Vernon Davis,vernon davis,TE,2018
261,Josh Allen,QB34,,264.3,Josh Allen,josh allen,QB,2018
262,Darren Sproles,RB74,,266.0,Darren Sproles,darren sproles,RB,2018
263,Jesse James,TE31,,267.0,Jesse James,jesse james,TE,2018
264,Terrance Williams,WR84,,267.0,Terrance Williams,terrance williams,WR,2018
265,Ryan Grant ,WR85,,268.0,Ryan Grant ,ryan grant,WR,2018
266,Nick Foles,QB35,,268.3,Nick Foles,nick foles,QB,2018
267,Jonathan Stewart,RB75,,269.3,Jonathan Stewart,jonathan stewart,RB,2018
268,Wayne Gallman Jr.,RB76,,273.3,Wayne Gallman Jr.,wayne gallman jr,RB,2018
269,Cordarrelle Patterson,RB77,,276.7,Cordarrelle Patterson,cordarrelle patterson,RB,2018
270,Ameer Abdullah,RB78,,277.0,Ameer Abdullah,ameer abdullah,RB,2018
271,Travis Benjamin,WR86,,277.7,Travis Benjamin,travis benjamin,WR,2018
272,Dustin Hopkins,K20,,280.0,Dustin Hopkins,dustin hopkins,K,2018
273,Phil Dawson ,K21,,281.3,Phil Dawson ,phil dawson,K,2018
274,Josh Rosen,QB36,,283.0,Josh Rosen,josh rosen,QB,2018
275,Nick Vannett,TE32,,283.3,Nick Vannett,nick vannett,TE,2018
276,Jermaine Kearse,WR87,,283.7,Jermaine Kearse,jermaine kearse,WR,2018
277,Terrelle Pryor Sr.,WR88,,241.5,Terrelle Pryor Sr.,terrelle pryor sr,WR,2018
278,Sebastian Janikowski,K22,,284.7,Sebastian Janikowski,sebastian janikowski,K,2018
279,Brett Maher,K23,,288.7,Brett Maher,brett maher,K,2018
280,Ka'imi Fairbairn,K24,,249.5,Ka'imi Fairbairn,kaimi fairbairn,K,2018
281,Malcolm Brown ,RB79,,249.5,Malcolm Brown ,malcolm brown,RB,2018
282,Albert Wilson ,WR89,,249.5,Albert Wilson ,albert wilson,WR,2018
283,Caleb Sturgis,K25,,294.7,Caleb Sturgis,caleb sturgis,K,2018
284,Antonio Callaway,WR90,,297.0,Antonio Callaway,antonio callaway,WR,2018
285,Kai Forbath,K26,,261.5,Kai Forbath,kai forbath,K,2018
286,Dante Pettis,WR91,,261.5,Dante Pettis,dante pettis,WR,2018
287,Ryan Fitzpatrick,QB37,,263.0,Ryan Fitzpatrick,ryan fitzpatrick,QB,2018
288,Zay Jones,WR92,,264.0,Zay Jones,zay jones,WR,2018
289,Tavon Austin,WR93,,265.0,Tavon Austin,tavon austin,WR,2018
290,Kevin White ,WR94,,266.0,Kevin White ,kevin white,WR,2018
291,Luke Willson,TE33,,266.5,Luke Willson,luke willson,TE,2018
292,Corey Coleman,WR95,,267.0,Corey Coleman,corey coleman,WR,2018
293,Ryan Griffin,TE34,,270.5,Ryan Griffin,ryan griffin,TE,2018
294,Buffalo Bills,DST23,,273.0,Buffalo Bills,buffalo bills,DST,2018
295,Cincinnati Bengals,DST24,,273.5,Cincinnati Bengals,cincinnati bengals,DST,2018
296,Hunter Henry,TE35,,275.0,Hunter Henry,hunter henry,TE,2018
297,Jaylen Samuels,RB80,,275.0,Jaylen Samuels,jaylen samuels,RB,2018
298,C.J. Prosise ,RB81,,275.0,C.J. Prosise ,cj prosise,RB,2018
299,New York Giants,DST25,,276.0,New York Giants,new york giants,DST,2018
300,Garrett Celek,TE36,,188.0,Garrett Celek,garrett celek,TE,2018
301,Chandler Catanzaro,K27,,309.0,Chandler Catanzaro,chandler catanzaro,K,2018
302,Blake Jarwin,TE37,,280.5,Blake Jarwin,blake jarwin,TE,2018
303,Las Vegas Raiders,DST26,,286.0,Las Vegas Raiders,las vegas raiders,DST,2018
304,Virgil Green,TE38,,288.0,Virgil Green,virgil green,TE,2018
305,Corey Grant ,RB82,,290.0,Corey Grant ,corey grant,RB,2018
306,Jordan Matthews,TE39,,214.0,Jordan Matthews,jordan matthews,TE,2018
307,San Francisco 49ers,DST27,,291.5,San Francisco 49ers,san francisco 49ers,DST,2018
308,Willie Snead,WR96,,293.0,Willie Snead,willie snead,WR,2018
309,Josh McCown,QB38,,295.0,Josh McCown,josh mccown,QB,2018
310,Jaron Brown,WR97,,295.5,Jaron Brown,jaron brown,WR,2018
311,AJ McCarron,QB39,,295.5,AJ McCarron,aj mccarron,QB,2018
312,Elijah McGuire,RB83,,296.0,Elijah McGuire,elijah mcguire,RB,2018
313,Mike Gillislee,RB84,,296.0,Mike Gillislee,mike gillislee,RB,2018
315,Washington Commanders,DST28,,298.5,Washington Commanders,washington commanders,DST,2018
316,DJ Chark Jr.,WR99,,298.5,DJ Chark Jr.,dj chark jr,WR,2018
317,Laquon Treadwell,WR100,,300.0,Laquon Treadwell,laquon treadwell,WR,2018
318,Tampa Bay Buccaneers,DST29,,301.0,Tampa Bay Buccaneers,tampa bay buccaneers,DST,2018
319,Roberto Aguayo,K28,,301.5,Roberto Aguayo,roberto aguayo,K,2018
320,Mark Andrews,TE40,,302.0,Mark Andrews,mark andrews,TE,2018
321,Adam Humphries,WR101,,324.7,Adam Humphries,adam humphries,WR,2018
322,Pharoh Cooper,WR102,,242.0,Pharoh Cooper,pharoh cooper,WR,2018
323,Keke Coutee,WR103,,309.0,Keke Coutee,keke coutee,WR,2018
324,Joe Williams,RB85,,307.0,Joe Williams,joe williams,RB,2018
325,Christine Michael,RB86,,308.5,Christine Michael,christine michael,RB,2018
326,Chester Rogers,WR104,,253.0,Chester Rogers,chester rogers,WR,2018
327,Torrey Smith,WR105,,311.5,Torrey Smith,torrey smith,WR,2018
328,Cairo Santos,K29,,255.0,Cairo Santos,cairo santos,K,2018
329,Trent Taylor,WR106,,312.0,Trent Taylor,trent taylor,WR,2018
330,Cody Parkey,K30,,314.5,Cody Parkey,cody parkey,K,2018
331,Jalen Richard,RB87,,315.5,Jalen Richard,jalen richard,RB,2018
332,Brandon Zylstra,WR107,,263.0,Brandon Zylstra,brandon zylstra,WR,2018
333,Geoff Swaim ,TE41,,321.0,Geoff Swaim ,geoff swaim,TE,2018
334,Aldrick Rosas,K31,,318.0,Aldrick Rosas,aldrick rosas,K,2018
335,Boston Scott,RB88,,318.0,Boston Scott,boston scott,RB,2018
336,J.D. McKissic,RB89,,319.5,J.D. McKissic,jd mckissic,RB,2018
337,Charles Sims,RB90,,274.0,Charles Sims,charles sims,RB,2018
338,Chris Warren,RB91,,275.0,Chris Warren,chris warren,RB,2018
339,Rico Gathers,TE42,,322.0,Rico Gathers,rico gathers,TE,2018
340,Alfred Blue,RB92,,323.5,Alfred Blue,alfred blue,RB,2018
341,J.J. Nelson,WR108,,324.0,J.J. Nelson,jj nelson,WR,2018
342,Chad Williams,WR109,,324.0,Chad Williams,chad williams,WR,2018
343,Nathan Peterman,QB40,,280.0,Nathan Peterman,nathan peterman,QB,2018
344,Rashard Higgins,WR110,,325.5,Rashard Higgins,rashard higgins,WR,2018
345,Jonathan Williams,RB93,,283.0,Jonathan Williams,jonathan williams,RB,2018
346,Adam Shaheen,TE43,,283.0,Adam Shaheen,adam shaheen,TE,2018
347,Gerald Everett,TE44,,326.0,Gerald Everett,gerald everett,TE,2018
348,Curtis Samuel,WR111,,326.5,Curtis Samuel,curtis samuel,WR,2018
349,Cameron Artis-Payne,RB94,,285.0,Cameron Artis-Payne,cameron artis-payne,RB,2018
350,John Conner,RB95,,287.0,John Conner,john conner,RB,2018
351,Brice Butler,WR112,,329.0,Brice Butler,brice butler,WR,2018
