Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile,adp_rank_pos,adp_percentile_pos
88,Rashaad Penny ,RB35,87.0,Rashaad Penny ,rashaad penny,RB,2022,81,0.7297297297297297,34,0.6292134831460674
89,Rashod Bateman,WR35,88.5,Rashod Bateman,rashod bateman,WR,2022,82,0.7263513513513513,33,0.6862745098039216
90,Zach Ertz,TE9,88.8,Zach Ertz,zach ertz,TE,2022,83,0.722972972972973,9,0.8095238095238095
91,Dawson Knox,TE10,90.0,Dawson Knox,dawson knox,TE,2022,84,0.7195945945945945,10,0.7857142857142857
92,Elijah Moore,WR36,90.0,Elijah Moore,elijah moore,WR,2022,84,0.7195945945945945,34,0.6764705882352942
93,DeVonta Smith,WR37,90.3,DeVonta Smith,devonta smith,WR,2022,85,0.7162162162162162,35,0.6666666666666667
94,Buffalo Bills,DST1,92.0,Buffalo Bills,buffalo bills,DST,2022,86,0.7128378378378378,1,1.0
95,Matthew Stafford,QB12,92.0,Matthew Stafford,matthew stafford,QB,2022,86,0.7128378378378378,12,0.7027027027027026
96,Tyler Lockett,WR38,96.5,Tyler Lockett,tyler lockett,WR,2022,87,0.7094594594594594,36,0.6568627450980392
97,Brandon Aiyuk,WR39,98.0,Brandon Aiyuk,brandon aiyuk,WR,2022,88,0.7060810810810811,37,0.6470588235294117
98,Drake London,WR40,98.5,Drake London,drake london,WR,2022,89,0.7027027027027026,38,0.6372549019607843
99,Rhamondre Stevenson,RB36,100.0,Rhamondre Stevenson,rhamondre stevenson,RB,2022,90,0.6993243243243243,35,0.6179775280898876
100,Christian Kirk,WR41,100.3,Christian Kirk,christian kirk,WR,2022,91,0.6959459459459459,39,0.6274509803921569
101,Trey Lance,QB13,101.5,Trey Lance,trey lance,QB,2022,92,0.6925675675675675,13,0.6756756756756757
102,Robert Woods,WR42,103.0,Robert Woods,robert woods,WR,2022,93,0.6891891891891893,40,0.6176470588235294
103,Allen Lazard,WR43,104.5,Allen Lazard,allen lazard,WR,2022,94,0.6858108108108107,41,0.607843137254902
104,Justin Tucker,K1,105.5,Justin Tucker,justin tucker,K,2022,95,0.6824324324324325,1,1.0
105,Melvin Gordon,RB37,107.5,Melvin Gordon,melvin gordon,RB,2022,96,0.6790540540540541,36,0.6067415730337078
106,Pat Freiermuth,TE11,108.5,Pat Freiermuth,pat freiermuth,TE,2022,97,0.6756756756756757,11,0.7619047619047619
107,Chris Olave,WR44,110.8,Chris Olave,chris olave,WR,2022,98,0.6722972972972974,42,0.5980392156862745
108,Tampa Bay Buccaneers,DST2,112.3,Tampa Bay Buccaneers,tampa bay buccaneers,DST,2022,99,0.6689189189189189,2,0.9666666666666667
109,Derek Carr,QB14,113.3,Derek Carr,derek carr,QB,2022,100,0.6655405405405406,14,0.6486486486486487
110,Kenneth Walker III,RB38,116.0,Kenneth Walker III,kenneth walker iii,RB,2022,101,0.6621621621621622,37,0.5955056179775281
111,Chase Claypool,WR45,116.3,Chase Claypool,chase claypool,WR,2022,102,0.6587837837837838,43,0.5882352941176471
112,James Robinson,RB39,117.0,James Robinson,james robinson,RB,2022,103,0.6554054054054055,38,0.5842696629213483
113,Michael Carter,RB40,117.0,Michael Carter,michael carter,RB,2022,103,0.6554054054054055,38,0.5842696629213483
114,San Francisco 49ers,DST3,118.8,San Francisco 49ers,san francisco 49ers,DST,2022,104,0.652027027027027,3,0.9333333333333333
115,Kadarius Toney,WR46,119.0,Kadarius Toney,kadarius toney,WR,2022,105,0.6486486486486487,44,0.5784313725490196
116,James Cook,RB41,120.0,James Cook,james cook,RB,2022,106,0.6452702702702703,39,0.5730337078651686
117,Cole Kmet,TE12,121.8,Cole Kmet,cole kmet,TE,2022,107,0.6418918918918919,12,0.7380952380952381
