,team,season,player,offense_snaps,team_snaps,offense_snap_percentage
116,ARI,2019,Zach Zenner,20.0,983.0,0.02034587995930824
117,ARI,2020,Andy Isabella,306.0,1126.0,0.27175843694493784
118,ARI,2020,Chase Edmonds,525.0,1126.0,0.46625222024866786
119,ARI,2020,Chris Streveler,30.0,1126.0,0.02664298401420959
120,ARI,2020,Christian Kirk,781.0,1126.0,0.6936056838365897
121,ARI,2020,D.J. Foster,25.0,1126.0,0.022202486678507993
122,ARI,2020,Dan Arnold,469.0,1126.0,0.41651865008880995
123,ARI,2020,Darrell Daniels,365.0,1126.0,0.3241563055062167
124,ARI,2020,DeAndre Hopkins,1043.0,1126.0,0.9262877442273535
125,ARI,2020,Evan Baylis,43.0,1126.0,0.03818827708703375
126,ARI,2020,Jonathan Ward,4.0,1126.0,0.003552397868561279
127,ARI,2020,Jordan Thomas,2.0,1126.0,0.0017761989342806395
128,ARI,2020,KeeSean Johnson,214.0,1126.0,0.19005328596802842
129,ARI,2020,Kenyan Drake,615.0,1126.0,0.5461811722912966
130,ARI,2020,Kyler Murray,1102.0,1126.0,0.9786856127886323
131,ARI,2020,Larry Fitzgerald,745.0,1126.0,0.6616341030195382
132,ARI,2020,Maxx Williams,326.0,1126.0,0.2895204262877442
133,ARI,2020,Seth Devalve,48.0,1126.0,0.04262877442273535
134,ARI,2020,Trent Sherfield,79.0,1126.0,0.07015985790408526
135,ARI,2021,A.J. Green,888.0,1146.0,0.774869109947644
136,ARI,2021,Andy Isabella,30.0,1146.0,0.02617801047120419
137,ARI,2021,Antoine Wesley,460.0,1146.0,0.4013961605584642
138,ARI,2021,Chase Edmonds,476.0,1146.0,0.41535776614310643
139,ARI,2021,Chris Streveler,24.0,1146.0,0.020942408376963352
140,ARI,2021,Christian Kirk,894.0,1146.0,0.7801047120418848
141,ARI,2021,Colt McCoy,209.0,1146.0,0.1823734729493892
142,ARI,2021,Darrell Daniels,254.0,1146.0,0.22164048865619546
143,ARI,2021,David Wells,12.0,1146.0,0.010471204188481676
144,ARI,2021,DeAndre Hopkins,560.0,1146.0,0.4886561954624782
145,ARI,2021,Demetrius Harris,210.0,1146.0,0.18324607329842932
146,ARI,2021,Eno Benjamin,95.0,1146.0,0.08289703315881326
147,ARI,2021,Greg Dortch,34.0,1146.0,0.029668411867364748
148,ARI,2021,James Conner,598.0,1146.0,0.5218150087260035
149,ARI,2021,Jonathan Ward,46.0,1146.0,0.04013961605584642
150,ARI,2021,Kyler Murray,940.0,1146.0,0.8202443280977313
151,ARI,2021,Maxx Williams,221.0,1146.0,0.19284467713787085
152,ARI,2021,Rondale Moore,432.0,1146.0,0.3769633507853403
153,ARI,2021,Ross Travis,18.0,1146.0,0.015706806282722512
154,ARI,2021,Tavien Feaster,0.0,1146.0,0.0
155,ARI,2021,Zach Ertz,618.0,1146.0,0.5392670157068062
156,ARI,2022,A.J. Green,554.0,1179.0,0.46988973706530957
157,ARI,2022,Andre Baccellia,118.0,1179.0,0.10008481764206956
158,ARI,2022,Andy Isabella,67.0,1179.0,0.056827820186598814
159,ARI,2022,Colt McCoy,229.0,1179.0,0.19423240033927056
160,ARI,2022,Corey Clement,73.0,1179.0,0.06191687871077184
161,ARI,2022,Darrel Williams,99.0,1179.0,0.08396946564885496
162,ARI,2022,David Blough,109.0,1179.0,0.09245122985581
163,ARI,2022,DeAndre Hopkins,555.0,1179.0,0.4707379134860051
164,ARI,2022,Eno Benjamin,315.0,1179.0,0.26717557251908397
165,ARI,2022,Greg Dortch,513.0,1179.0,0.4351145038167939
166,ARI,2022,James Conner,663.0,1179.0,0.5623409669211196
167,ARI,2022,Javon Wims,5.0,1179.0,0.004240882103477523
168,ARI,2022,Jonathan Ward,0.0,1179.0,0.0
169,ARI,2022,Keaontay Ingram,104.0,1179.0,0.08821034775233248
170,ARI,2022,Kyler Murray,719.0,1179.0,0.6098388464800678
171,ARI,2022,Marquise Brown,783.0,1179.0,0.6641221374045801
172,ARI,2022,Maxx Williams,169.0,1179.0,0.1433418150975403
173,ARI,2022,Pharoh Cooper,25.0,1179.0,0.021204410517387615
174,ARI,2022,Robbie Chosen,209.0,1179.0,0.17726887192536048
175,ARI,2022,Rondale Moore,459.0,1179.0,0.3893129770992366
176,ARI,2022,Stephen Anderson,132.0,1179.0,0.11195928753180662
177,ARI,2022,Trace McSorley,148.0,1179.0,0.1255301102629347
178,ARI,2022,Trey McBride,599.0,1179.0,0.5080576759966073
179,ARI,2022,Ty'Son Williams,2.0,1179.0,0.0016963528413910093
180,ARI,2022,Zach Ertz,575.0,1179.0,0.48770144189991516
181,ARI,2023,Andre Baccellia,49.0,1127.0,0.043478260869565216
182,ARI,2023,Blake Whiteheart,2.0,1127.0,0.001774622892635315
183,ARI,2023,Clayton Tune,60.0,1127.0,0.05323868677905945
184,ARI,2023,Corey Clement,0.0,1127.0,0.0
185,ARI,2023,Damien Williams,28.0,1127.0,0.024844720496894408
