,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name
9702,2022,REG,9,Christian Kirk,WR,JAX,5.15,3.1182150599534655,7.267777777777779,36.49093444909345,8,9,88.88888888888889,76.0,1,1.9187499999999988,1.9786352883466334,-0.059885288346634535,00-0034775,Christian,Kirk,C.Kirk
9703,2022,REG,9,Marvin Jones,WR,JAX,5.140000000000001,2.4134347869379407,11.203333333333333,37.50069735006974,5,6,83.33333333333334,48.0,0,0.6559999999999995,2.2414444959076434,-1.585444495907644,00-0029293,Marvin,Jones,M.Jones
9704,2022,REG,9,Sammy Watkins,WR,GB,5.045999999999999,1.760892284135469,4.558,5.319670409187461,1,5,20.0,9.0,0,10.229999999999997,7.713360916191959,2.5166390838080375,00-0031325,Samuel,Watkins,S.Watkins
9705,2022,REG,9,Stefon Diggs,WR,BUF,5.028888888888889,1.7273895564353494,19.350999999999996,49.177869831507785,5,10,50.0,93.0,0,5.102000000000004,2.2298109833768076,2.8721890166231963,00-0031588,Stefon,Diggs,S.Diggs
9706,2022,REG,9,Cade Otton,TE,TB,4.9783333333333335,4.246771486922313,6.050000000000002,12.330581881178034,5,6,83.33333333333334,68.0,1,7.447999999999999,5.032230368861261,2.4157696311387378,00-0038129,Cade,Otton,C.Otton
9707,2022,REG,9,Josiah Deguara,TE,GB,4.8525,4.035066981277302,5.801999999999998,6.771550617399219,5,5,100.0,41.0,0,2.398000000000002,3.321494321223909,-0.9234943212239073,00-0036332,Josiah,Deguara,J.Deguara
9708,2022,REG,9,Michael Pittman,WR,IND,4.698333333333333,2.7753580965919347,7.898333333333333,29.323680465317743,3,6,50.0,22.0,0,3.0100000000000016,3.4191198474112903,-0.4091198474112887,00-0036252,Michael,Pittman,M.Pittman
9709,2022,REG,9,Allen Lazard,WR,GB,4.609,1.6109063902775973,16.028,37.41275880581686,4,10,40.0,87.0,1,7.824999999999999,4.631180320125324,3.193819679874675,00-0034521,Allen,Lazard,A.Lazard
9710,2022,REG,9,D.J. Moore,WR,CAR,4.4816666666666665,2.155355232218041,12.631666666666666,39.69933476507253,2,6,33.33333333333333,24.0,0,4.440000000000001,3.8990870155557786,0.5409129844442226,00-0034827,Denniston,Moore,D.Moore
9711,2022,REG,9,Zach Ertz,TE,ARI,4.3725000000000005,1.5557887575360265,11.29875,52.360539882986735,5,8,62.5,40.0,1,0.4500000000000014,0.871861417427499,-0.4218614174274976,00-0030061,Zachary,Ertz,Z.Ertz
9712,2022,REG,9,Michael Bandy,WR,LAC,4.206666666666666,4.70823266759016,6.97125,19.918568520304298,5,8,62.5,26.0,0,2.868,4.138221119985879,-1.2702211199858788,00-0036959,Michael,Bandy,M.Bandy
9713,2022,REG,9,Cole Kmet,TE,CHI,4.024,3.7848379124790763,7.303333333333337,21.691995445770022,5,6,83.33333333333334,41.0,2,4.915999999999998,4.398134825884517,0.5178651741154807,00-0036290,Cole,Kmet,C.Kmet
