Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year
356,A.J. Derby,2TM,TE,25,10,3,0,0,0,0,0,0,0,,0,20,16,160,10.0,0,1,1,0,,,14,30.0,34.0,22.0,,63,,A.J. Derby,aj derby,TE,TE,2TM,2016,325.0
357,Jeff Heuerman,DEN,TE,24,12,2,0,0,0,0,0,0,0,,0,17,9,141,15.67,0,0,0,0,,,14,23.1,26.1,18.6,,62,,Jeff Heuerman,jeff heuerman,TE,TE,DEN,2016,353.0
358,Akeem Hunt,HOU,RB,23,8,0,0,0,0,0,0,20,109,5.45,0,4,3,29,9.67,0,2,0,0,,,14,16.8,19.8,15.3,,103,,Akeem Hunt,akeem hunt,RB,RB,HOU,2016,380.0
359,Andy Janovich,DEN,RB,23,11,5,0,0,0,0,0,4,33,8.25,1,7,5,44,8.8,0,0,0,1,,,14,18.7,18.7,16.2,,104,,Andy Janovich,andy janovich,RB,RB,DEN,2016,373.0
360,Brandon Myers,TAM,TE,31,16,9,0,0,0,0,0,0,0,,0,14,7,59,8.43,1,0,0,1,1.0,,14,20.9,20.9,17.4,,64,,Brandon Myers,brandon myers,TE,TE,TAM,2016,362.0
361,Walt Powell,BUF,WR,25,9,2,0,0,0,0,0,0,0,,0,25,14,142,10.14,0,0,0,0,,,14,28.2,31.2,21.2,,144,,Walt Powell,walt powell,WR,WR,BUF,2016,337.0
362,Larry Donnell,NYG,TE,28,14,6,0,0,0,0,0,0,0,,0,22,15,92,6.13,1,1,1,1,,,13,28.2,29.2,20.7,,65,,Larry Donnell,larry donnell,TE,TE,NYG,2016,337.0
363,Arian Foster,MIA,RB,30,4,2,0,0,0,0,0,22,55,2.5,0,10,6,78,13.0,0,1,0,0,,,13,19.3,19.3,16.3,,106,,Arian Foster,arian foster,RB,RB,MIA,2016,368.0
364,Crockett Gillmore,BAL,TE,25,7,5,0,0,0,0,0,0,0,,0,14,8,71,8.88,1,0,0,1,,,13,21.1,21.1,17.1,,67,,Crockett Gillmore,crockett gillmore,TE,TE,BAL,2016,361.0
365,Chris Harper,SFO,WR,23,9,2,0,0,0,0,0,0,0,,0,21,13,133,10.23,0,0,0,0,,,13,26.3,29.3,19.8,,145,,Chris Harper,chris harper,WR,WR,SFO,2016,344.0
366,Chris Moore,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,1,0,1,,,13,19.5,19.5,16.0,,150,,Chris Moore,chris moore,WR,WR,BAL,2016,367.0
367,Nick O'Leary,BUF,RB,24,16,7,0,0,0,0,0,0,0,,0,14,9,114,12.67,0,0,0,0,1.0,,13,22.4,25.4,17.9,,105,,Nick O'Leary,nick oleary,RB,RB,BUF,2016,359.0
368,John Phillips,2TM,TE,29,16,7,0,0,0,0,0,0,0,,0,15,10,72,7.2,1,0,0,1,,,13,23.2,23.2,18.2,,66,,John Phillips,john phillips,TE,TE,2TM,2016,352.0
369,C.J. Spiller,2TM,RB,29,6,0,0,0,0,0,0,6,18,3.0,0,13,6,50,8.33,1,1,0,1,,,13,18.8,18.8,15.8,,107,,C.J. Spiller,cj spiller,RB,RB,2TM,2016,372.0
370,Jaelen Strong,HOU,WR,22,8,2,0,0,0,0,0,0,0,,0,24,14,131,9.36,0,0,0,0,,,13,27.1,30.1,20.1,,146,,Jaelen Strong,jaelen strong,WR,WR,HOU,2016,341.0
371,Paul Turner,PHI,WR,23,4,2,0,0,0,0,0,0,0,,0,14,9,126,14.0,0,0,0,0,,,13,21.6,24.6,17.1,,149,,Paul Turner,paul turner,WR,WR,PHI,2016,360.0
