season,playerId,player,position,team,conference,category,statType,stat
2020,4262205,Cade Brewer,TE,Texas,Big 12,receiving,YDS,169
2020,4240025,Bailey Hockman,QB,NC State,ACC,passing,INT,11
2020,4427839,Bryson Lucero,QB,UAB,Conference USA,passing,INT,8
2020,4362447,Matt Myers,QB,Buffalo,Mid-American,rushing,CAR,3
2020,4429676,Tyler Goodson,RB,Iowa,Big Ten,receiving,YDS,152
2020,4570242,Nick Nash,WR,San José State,Mountain West,passing,YDS,213
2020,4035380,Dontea Jones,WR,Mississippi State,SEC,defensive,TFL,0
2020,4374303,JT Daniels,QB,Georgia,SEC,passing,TD,10
2020,4363409,Austin Watkins,WR,UAB,Conference USA,kickReturns,YDS,0
2020,4372019,Jerome Ford,RB,Cincinnati,American Athletic,defensive,QB HUR,0
2020,4568419,Khaleb Hood,WR,Georgia Southern,Sun Belt,rushing,TD,0
2020,4372780,Tommy Tremble,TE,Notre Dame,FBS Independents,receiving,TD,0
2020,4606677,Robie Glass,WR,Kent State,Mid-American,defensive,TD,0
2020,4044143,Randle Jones,WR,Temple,American Athletic,receiving,YDS,370
2020,4034948,Feleipe Franks,QB,Arkansas,SEC,passing,INT,4
2020,4568425,Beau Johnson,TE,Georgia Southern,Sun Belt,receiving,REC,6
2020,4429313,Tyrone Broden Jr.,WR,Bowling Green,Mid-American,receiving,TD,0
2020,4039198,Nolan Givan,TE,San Diego State,Mountain West,defensive,TOT,2
2020,4570130,Jermaine Brown Jr.,RB,UAB,Conference USA,receiving,YDS,32
2020,4242558,Tucker Fisk,TE,Stanford,Pac-12,defensive,SOLO,2
2020,4362230,Kaleb Eleby,QB,Western Michigan,Mid-American,passing,INT,2
2020,4430254,Jerjuan Newton,WR,Toledo,Mid-American,defensive,TD,0
2020,4239941,Travis Levy,RB,Boston College,ACC,defensive,QB HUR,0
2020,4360527,Chris Wiggins,WR,Charlotte,Conference USA,defensive,PD,0
2020,4240787,Austin Allen,TE,Nebraska,Big Ten,defensive,TOT,2
2020,4036676,Darion Anderson,WR,Georgia Southern,Sun Belt,receiving,YDS,92
2020,4431342,Brennan Presley,WR,Oklahoma State,Big 12,puntReturns,TD,0
2020,4360516,Tyrone Tracy Jr.,RB,Iowa,Big Ten,receiving,TD,1
2020,4685975,Chance Lovertich,QB,South Alabama,Sun Belt,rushing,CAR,19
2020,4361159,Greg Bell,RB,San Diego State,Mountain West,receiving,YDS,114
2020,4569325,Dezmon Jackson,RB,Oklahoma State,Big 12,fumbles,REC,0
2020,4570491,Jayy McDonald,RB,Middle Tennessee,Conference USA,receiving,YDS,55
2020,4383717,Ean Beek,RB,Houston Christian,Southland,rushing,CAR,34
2020,4363046,Tre'Shaun Harrison,WR,Oregon State,Pac-12,receiving,TD,1
2020,4242442,Princeton Fant,TE,Tennessee,SEC,receiving,REC,11
2020,4036168,C.J. Riley,WR,NC State,ACC,receiving,TD,2
2020,4036211,DJ Turner,WR,Pittsburgh,ACC,receiving,YDS,634
2020,4574722,Christian Dremel,WR,Rutgers,Big Ten,receiving,REC,5
2020,4565297,Dontae Fleming,WR,Louisiana,Sun Belt,rushing,YDS,-5
2020,4239941,Travis Levy,RB,Boston College,ACC,rushing,TD,0
2020,4409436,Morgan Pyper,RB,BYU,FBS Independents,defensive,QB HUR,0
2020,4568992,Ryan O'Keefe,WR,UCF,American Athletic,receiving,TD,3
2020,4570250,Trevor Wilson,WR,Buffalo,Mid-American,kickReturns,YDS,14
2020,4428915,Lee Witherspoon,RB,Mississippi State,SEC,defensive,TOT,3
2020,4686869,Bryce Profitt,WR,Akron,Mid-American,defensive,TD,0
2020,4427630,Oscar Adaway III,RB,North Texas,Conference USA,rushing,YDS,572
2020,4381248,Tauskie Dove,WR,Missouri,SEC,receiving,REC,30
2020,4040407,Jack Abraham,QB,Southern Miss,Conference USA,rushing,CAR,28
2020,4577726,Jawaun Johnson,WR,Louisiana Tech,Conference USA,defensive,TD,0
2020,4688766,Josh Sterns,WR,Houston Christian,Southland,receiving,YDS,307
2020,4361504,BJ Busbee,WR,San Diego State,Mountain West,kickReturns,TD,0
2020,4240710,A.J. Davis,RB,Pittsburgh,ACC,receiving,REC,10
2020,4245144,Davontavean Martin,WR,Oklahoma State,Big 12,receiving,YDS,130
2020,4360589,Dontae Smith,RB,Georgia Tech,ACC,rushing,YDS,296
2020,4426530,Kay'Ron Adams,RB,Rutgers,Big Ten,rushing,YDS,162
2020,4244068,Dustin Crum,QB,Kent State,Mid-American,rushing,CAR,44
2020,4567096,John Metchie,WR,Alabama,SEC,receiving,REC,55
2020,4426459,Chase Lane,WR,Texas A&M,SEC,kickReturns,TD,0
2020,4429105,Arian Smith,WR,Georgia,SEC,receiving,TD,1
2020,4360603,Brandon Robinson,WR,Florida Atlantic,Conference USA,receiving,YDS,145
2020,4039198,Nolan Givan,TE,San Diego State,Mountain West,receiving,YDS,23
2020,4570219,Jared Smart,WR,Hawai'i,Mountain West,receiving,TD,1
2020,4361088,Colson Yankoff,RB,UCLA,Pac-12,defensive,TD,0
2020,4038940,Terry Wilson,QB,Kentucky,SEC,fumbles,FUM,4
2020,4426800,Ahmarean Brown,WR,Georgia Tech,ACC,receiving,YDS,183
2020,4362503,Dee Wiggins,WR,Miami,ACC,defensive,SACKS,0
2020,4686606,Isaiah Johnson,RB,North Texas,Conference USA,defensive,SOLO,0
2020,4431948,TJ Finley,QB,LSU,SEC,fumbles,FUM,3
2020,4044123,Branden Mack,WR,Temple,American Athletic,passing,INT,0
2020,4431066,Harlan Dixon,RB,Louisiana Tech,Conference USA,defensive,SOLO,1
2020,4367207,Matt Alaimo,TE,Rutgers,Big Ten,receiving,YDS,22
2020,4567032,Nolan Groulx,WR,Wake Forest,ACC,receiving,REC,8
2020,4427366,Breece Hall,RB,Iowa State,Big 12,receiving,YDS,180
2020,4569560,Jordan Wilmore,RB,Utah,Pac-12,rushing,TD,0
2020,4371863,Chance Warren,RB,Navy,American Athletic,passing,INT,0
2020,4259633,Stephen Carr,RB,USC,Pac-12,rushing,TD,2
2020,4039009,Sean McGrew,RB,Washington,Pac-12,rushing,TD,4
2020,4368532,Tanner Allton,WR,Ohio,Mid-American,receiving,REC,1
2020,4036595,Josh Pederson,TE,UL Monroe,Sun Belt,passing,TD,0
2020,4426891,Isaiah Spiller,RB,Texas A&M,SEC,rushing,CAR,186
2020,4689338,Dillon Johnson,RB,Mississippi State,SEC,receiving,YDS,157
2020,4686788,CJ Harris,QB,Ohio,Mid-American,rushing,TD,0
2020,4426459,Chase Lane,WR,Texas A&M,SEC,kickReturns,YDS,27
2020,4240787,Austin Allen,TE,Nebraska,Big Ten,defensive,QB HUR,0
2020,4575226,Andre Crump,WR,San José State,Mountain West,defensive,TFL,0
2020,4244727,Justin Hall,WR,Ball State,Mid-American,receiving,TD,4
2020,3921681,Bailey Gaither,WR,San José State,Mountain West,defensive,TFL,0
2020,4242492,CJ Verdell,RB,Oregon,Pac-12,rushing,TD,3
2020,4242203,Lowell Narcisse,QB,UTSA,Conference USA,passing,INT,0
2020,4426875,Sam Howell,QB,North Carolina,ACC,fumbles,REC,0
2020,4427648,Lexington Joseph,RB,Florida International,Conference USA,receiving,TD,0
2020,4570243,Kairee Robinson,RB,San José State,Mountain West,rushing,YDS,313
2020,4241424,Tylan Wallace,WR,Oklahoma State,Big 12,rushing,CAR,1
2020,4368096,Nathan Bax,TE,Arkansas,SEC,defensive,QB HUR,0
2020,4426857,Oscar Cardenas,TE,UTSA,Conference USA,receiving,YDS,46
2020,4374141,Jordan Byrd,RB,San Diego State,Mountain West,receiving,YDS,12
2020,4037121,Rex Culpepper,QB,Syracuse,ACC,fumbles,FUM,4
2020,4428666,Cadarrius Thompson,WR,Georgia State,Sun Belt,defensive,TD,0
2020,4362509,Cam'Ron Harris,RB,Miami,ACC,receiving,REC,18
2020,4259356,Harry Trotter,RB,Kansas State,Big 12,rushing,YDS,260
2020,4570183,Marcus Phillips Jr.,WR,UNLV,Mountain West,defensive,SOLO,0
2020,4568611,De'Von Fox,WR,Temple,American Athletic,receiving,REC,7
2020,4361185,Justin McGriff,WR,Utah State,Mountain West,receiving,YDS,156
2020,4240782,Asim Rose,RB,Kentucky,SEC,rushing,CAR,106
2020,4360881,Johnny Ford,RB,South Florida,American Athletic,defensive,TOT,1
2020,4427609,Rahmir Johnson,RB,Nebraska,Big Ten,rushing,YDS,30
2020,4697815,Rachaad White,RB,Arizona State,Pac-12,puntReturns,TD,0
2020,4686870,George Qualls Jr.,WR,Akron,Mid-American,receiving,YDS,160
2020,4433821,John Gentry,RB,Utah State,Mountain West,rushing,CAR,7
2020,4363104,Chris Smith,RB,Louisiana,Sun Belt,kickReturns,NO,23
2020,4361222,Layne Hatcher,QB,Arkansas State,Sun Belt,passing,YDS,2058
2020,4361677,Justin Dunn,WR,NC State,ACC,defensive,TD,0
2020,4685038,Phat Watts,WR,Tulane,American Athletic,receiving,TD,0
2020,4689899,Jeremy Hunt,QB,UL Monroe,Sun Belt,rushing,YDS,18
2020,4427351,Grant Gunnell,QB,Arizona,Pac-12,passing,TD,6
2020,4035847,Melquise Stovall,WR,Hawai'i,Mountain West,defensive,QB HUR,0
2020,4360225,Jehlani Galloway,WR,Boston College,ACC,defensive,TFL,0
2020,4259305,Bo Melton,WR,Rutgers,Big Ten,kickReturns,NO,6
2020,4259553,Stetson Bennett,QB,Georgia,SEC,rushing,YDS,54
2020,4362796,Ja'Veon Marlow,RB,Vanderbilt,SEC,rushing,TD,0
2020,4426499,Hank Bachmeier,QB,Boise State,Mountain West,rushing,TD,2
2020,4429742,Darrell Harding Jr.,WR,Duke,ACC,receiving,REC,11
2020,4043607,Xavier Gaines,TE,Marshall,Conference USA,passing,YDS,0
2020,4427420,Seth Hayes,TE,Arkansas State,Sun Belt,kickReturns,TD,0
2020,4695619,Austin Erickson,WR,New Mexico,Mountain West,receiving,TD,0
2020,4569393,Xavier White,WR,Texas Tech,Big 12,receiving,YDS,104
2020,4576845,Isaiah Wooden,WR,Kent State,Mid-American,receiving,YDS,94
2020,4361006,Solomon Enis,WR,Utah,Pac-12,receiving,YDS,108
2020,4034675,Ben Ratzlaff,WR,Houston Christian,Southland,receiving,REC,23
2020,4693844,Dallas Dixon,WR,Central Michigan,Mid-American,defensive,PD,0
2020,4430518,Brannon Spector,WR,Clemson,ACC,receiving,REC,16
2020,4372015,Xavier Williams,WR,Alabama,SEC,receiving,YDS,24
2020,4426335,Graham Mertz,QB,Wisconsin,Big Ten,passing,TD,9
