player,position,season,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Chad Owens,WR,2014,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,22,3,0,30,10.0,0,0,0,0,0.0
Chad President,QB,2015,0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0.0,8,1,0,8,8.0,17,29,0,43,2.5
Chad President,QB,2016,0,0,0,0.0,0,0,0,2,1,0,0.5,0,9,4.5,0,0,0,0,0.0,3,17,0,33,11.0
Chad President,QB,2017,2,2,0,0.0,0,0,0,157,83,2,0.529,3,921,5.9,0,0,0,0,0.0,69,71,9,429,6.2
Chad President,QB,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,6,7,0,8,1.3
Chad Scott,WR,2014,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1,2,0,2,2.0
Chad Scott,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,18,1,0,18,18.0,0,0,0,0,0.0
Chad Terrell,TE,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,3,0,20,6.7,0,0,0,0,0.0
Chad Terrell,TE,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,20,4,0,56,14.0,0,0,0,0,0.0
Chad Voytik,QB,2014,0,0,0,0.0,0,0,0,287,176,7,0.613,16,2233,7.8,29,1,0,29,29.0,108,49,3,466,4.3
Chad Voytik,QB,2015,0,0,0,0.0,0,0,0,24,16,1,0.667,1,112,4.7,0,0,0,0,0.0,20,26,1,37,1.9
Chad Voytik,QB,2016,2,1,0,0.0,0,0,0,57,32,1,0.561,1,363,6.4,0,0,0,0,0.0,79,29,4,164,2.1
Chad Williams,WR,2014,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,13,4,0,36,9.0,0,0,0,0,0.0
Chad Williams,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,6,2,0,7,3.5,0,0,0,0,0.0
Chad Williams,WR,2016,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,43,13,0,152,11.7,0,0,0,0,0.0
Chadarius Townsend,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,8,9,0,22,2.8
Chadarius Townsend,WR,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,12,3,0,23,7.7,18,36,1,99,5.5
Chadarius Townsend,WR,2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,10,26,0,65,6.5
Chalfonte Butler,TE,2017,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,32,6,1,81,13.5,0,0,0,0,0.0
Challen Faamatau,RB,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,8,1,0,8,8.0,1,4,0,4,4.0
Challen Faamatau,RB,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,37,7,0,81,11.6,56,30,3,235,4.2
Chamon Metayer,TE,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,32,1,0,32,32.0,0,0,0,0,0.0
Chamon Metayer,TE,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,35,23,5,258,11.2,1,27,0,27,27.0
Chamon Metayer,TE,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,29,32,5,306,9.6,0,0,0,0,0.0
Champ Dozier,RB,2023,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,63,5,0,72,14.4,57,23,4,294,5.2
Champ Dozier,RB,2024,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,35,24,1,189,7.9,50,40,3,234,4.7
Champ Flemings,WR,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,40,4,0,68,17.0,4,10,0,-13,-3.3
Champ Flemings,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,75,32,3,457,14.3,3,24,0,18,6.0
Champ Flemings,WR,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,23,10,0,107,10.7,1,8,0,8,8.0
Champ Flemings,WR,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,45,15,1,270,18.0,2,11,0,9,4.5
Champ Flemings,WR,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,58,41,1,492,12.0,2,15,0,20,10.0
Champ Harris,QB,2023,5,3,0,0.0,0,0,0,35,19,4,0.543,0,260,7.4,0,0,0,0,0.0,21,36,1,11,0.5
Champ Long,QB,2024,0,0,0,0.0,0,0,0,2,1,0,0.5,0,10,5.0,0,0,0,0,0.0,1,0,0,-9,-9.0
Chance Aime,RB,2022,0,0,0,0.0,0,0,0,5,2,0,0.4,0,23,4.6,0,0,0,0,0.0,12,20,1,47,3.9
Chance Allen,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,52,56,6,752,13.4,0,0,0,0,0.0
Chance Allen,WR,2016,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,50,56,6,815,14.6,0,0,0,0,0.0
Chance Amie,QB,2022,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0,0,0.0,3,0,0,-5,-1.7
Chance Bell,RB,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,14,3,0,34,11.3,40,20,0,189,4.7
Chance Bell,RB,2019,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,21,12,0,77,6.4,89,22,2,384,4.3
Chance Bell,RB,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,14,3,0,26,8.7,56,30,3,273,4.9
Chance Bell,RB,2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,4,1,0,4,4.0,72,61,4,341,4.7
Chance Bell,RB,2022,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,13,5,0,41,8.2,50,24,0,205,4.1
Chance Black,RB,2022,4,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0.0,20,3,0,23,7.7,42,23,0,130,3.1
Chance Black,RB,2023,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,6,8,0,22,3.7
Chance Brewington,TE,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,3,0,22,7.3,0,0,0,0,0.0
Chance Brewington,TE,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,11,2,0,19,9.5,0,0,0,0,0.0
Chance Brewington,TE,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,12,3,1,20,6.7,0,0,0,0,0.0
Chance Brewington,TE,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,45,11,1,100,9.1,0,0,0,0,0.0
Chance Harris,RB,2022,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,12,14,1,43,3.1,101,24,2,404,4.0
Chance Harris,RB,2023,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,11,4,0,24,6.0,60,11,0,69,1.2
Chance Harris,RB,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,19,5,0,28,5.6,72,20,2,199,2.8
Chance Kennedy,WR,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,2,1,0,2,2.0,0,0,0,0,0.0
